"1","Logan Gilbert","SEA","SP","OAK","6.10","7.37","0.44","0.00","3.14","1.12","2.13","4.86","1.90","0.32","0.00","0.00","0.04","0.00","95%"
"2","Aaron Nola","PHI","SP","@WSH","6.09","5.60","0.43","0.00","3.57","1.24","2.42","5.49","1.97","0.30","0.00","0.00","0.04","0.00","98%"
"3","Hunter Greene","CIN","SP","@CHC","5.78","6.71","0.34","0.00","3.97","1.34","2.55","5.09","2.47","0.33","0.00","0.00","0.05","0.00","89%"
"4","Michael McGreevy","STL","SP","@SF","7.23","5.56","0.39","0.00","3.48","1.50","2.79","8.27","2.46","0.18","0.00","0.00","0.14","0.00","4%"
"5","Clarke Schmidt","NYY","SP","PIT","5.28","5.56","0.39","0.00","4.02","1.31","2.36","4.76","2.06","0.34","0.00","0.00","0.04","0.00","45%"
"6","Colin Rea","MIL","RP,SP","NYM","6.20","3.84","0.34","0.00","4.16","1.24","2.87","6.23","1.44","0.17","0.00","0.00","0.07","0.00","27%"
"7","Bailey Ober","MIN","SP","BAL","5.46","5.65","0.36","0.00","4.18","1.31","2.54","5.04","2.00","0.45","0.00","0.00","0.04","0.00","88%"
"8","Mitch Spence","OAK","RP,SP","@SEA","5.57","5.16","0.25","0.00","3.83","1.38","2.37","5.20","2.41","0.21","0.00","0.00","0.06","0.00","5%"
"9","Andrew Heaney","TEX","SP,RP","@LAA","5.36","5.56","0.36","0.00","4.31","1.36","2.57","5.01","2.12","0.42","0.00","0.00","0.05","0.00","35%"
"10","Casey Mize","DET","SP","CWS","5.69","3.52","0.06","0.00","4.15","1.19","2.62","5.94","0.80","0.11","0.00","0.00","0.07","0.00","5%"
"11","Bowden Francis","TOR","RP,SP","MIA","5.50","5.43","0.37","0.00","4.03","1.29","2.46","4.97","2.02","0.38","0.00","0.00","0.05","0.00","50%"
"12","Hayden Birdsong","SF","SP","STL","4.94","4.61","0.30","0.00","4.07","1.39","2.23","4.57","2.19","0.23","0.00","0.00","0.04","0.00","9%"
"13","Brandon Pfaadt","ARI","SP","SD","5.57","4.89","0.42","0.00","4.38","1.46","2.71","6.03","2.00","0.33","0.00","0.00","0.05","0.00","44%"
"14","Ryan Weathers","MIA","SP","@TOR","5.65","5.04","0.28","0.00","4.00","1.39","2.51","5.40","2.36","0.33","0.00","0.00","0.05","0.00","5%"
"15","David Peterson","NYM","SP,RP","@MIL","5.58","5.64","0.34","0.00","4.62","1.46","2.87","5.53","2.52","0.31","0.00","0.00","0.06","0.00","36%"
"16","Jack Kochanowicz","LAA","SP","TEX","5.79","3.41","0.29","0.00","4.40","1.42","2.83","6.20","1.94","0.23","0.00","0.00","0.07","0.00","6%"
"17","Raisel Iglesias","ATL","RP","KC","0.58","0.58","0.00","0.31","3.73","0.74","0.24","0.38","0.04","0.02","0.00","0.00","0.00","0.00","94%"
"18","Jake Irvin","WSH","SP","PHI","5.64","4.90","0.26","0.00","4.53","1.47","2.84","5.86","2.29","0.45","0.00","0.00","0.05","0.00","32%"
"19","Edwin Diaz","NYM","RP","@MIL","0.56","0.75","0.01","0.26","3.81","1.03","0.24","0.34","0.23","0.02","0.00","0.00","0.00","0.00","88%"
"20","Charlie Morton","ATL","SP","KC","5.48","5.41","0.49","0.00","4.41","1.47","2.68","5.43","2.44","0.73","0.00","0.00","0.05","0.00","66%"
"21","Bailey Falter","PIT","SP","@NYY","5.14","4.12","0.22","0.00","4.68","1.44","2.67","5.14","2.18","0.63","0.00","0.00","0.05","0.00","4%"
"22","Clayton Beeter","NYY","SP","PIT","1.90","2.12","0.03","0.00","3.46","1.15","0.73","1.43","0.73","0.09","0.00","0.00","0.03","0.00","0%"
"23","Ryan Pepiot","TB","SP,RP","@BOS","5.04","5.29","0.30","0.00","5.16","1.51","2.89","5.48","2.02","0.37","0.00","0.00","0.04","0.00","59%"
"24","Albert Suarez","BAL","RP,SP","@MIN","4.64","4.09","0.23","0.00","4.40","1.58","2.27","5.33","1.89","0.31","0.00","0.00","0.04","0.00","22%"
"25","Jonathan Cannon","CWS","SP","@DET","5.64","3.67","0.04","0.00","4.30","1.49","2.70","5.99","2.28","0.27","0.00","0.00","0.05","0.00","3%"
"26","Joe Boyle","OAK","SP","@SEA","1.72","2.04","0.02","0.00","3.12","1.38","0.60","1.10","1.22","0.07","0.00","0.00","0.02","0.00","1%"
"27","Hayden Wesneski","CHC","SP,RP","CIN","1.95","1.57","0.03","0.00","3.54","1.44","0.77","2.09","0.69","0.08","0.00","0.00","0.04","0.00","1%"
"28","Steven Matz","STL","SP,RP","@SF","2.15","1.95","0.02","0.00","3.84","1.43","0.92","2.17","0.90","0.03","0.00","0.00","0.02","0.00","1%"
"29","Ty Madden","DET","SP","CWS","1.98","1.51","0.04","0.00","3.64","1.45","0.80","2.12","0.73","0.08","0.00","0.00","0.05","0.00","1%"
"30","Ryan Yarbrough","TOR","SP,RP","MIA","2.16","1.90","0.03","0.00","5.15","1.26","1.24","2.03","0.64","0.57","0.00","0.00","0.04","0.00","2%"
"31","Michael Lorenzen","KC","CF,SP","@ATL","2.13","1.74","0.02","0.00","4.19","1.45","0.99","2.10","0.97","0.06","0.00","0.00","0.03","0.00","3%"
"32","Louie Varland","MIN","SP,RP","BAL","2.03","1.95","0.02","0.00","4.66","1.39","1.05","1.98","0.82","0.06","0.00","0.00","0.02","0.00","4%"
"33","Jake Eder","CWS","SP","@DET","2.00","1.60","0.04","0.00","3.78","1.58","0.84","2.26","0.85","0.07","0.00","0.00","0.05","0.00","0%"
"34","Marcus Stroman","NYY","SP","PIT","2.10","1.29","0.02","0.00","4.11","1.45","0.96","2.12","0.91","0.05","0.00","0.00","0.02","0.00","44%"
"35","Martin Perez","SD","SP,RP","@ARI","5.27","3.90","0.22","0.00","4.90","1.62","2.87","6.24","2.20","0.25","0.00","0.00","0.04","0.00","21%"
"36","Hogan Harris","OAK","SP,RP","@SEA","1.74","1.82","0.02","0.00","4.92","1.34","0.95","1.54","0.74","0.11","0.00","0.00","0.03","0.00","1%"
"37","Dylan Lee","ATL","RP","KC","0.56","0.58","0.00","0.00","3.85","0.76","0.24","0.37","0.05","0.02","0.00","0.00","0.00","0.00","1%"
"38","Aaron Bummer","ATL","RP","KC","0.58","0.58","0.01","0.00","3.63","1.07","0.23","0.38","0.23","0.01","0.00","0.00","0.00","0.00","0%"
"39","Tristan Beck","SF","RP","STL","2.05","1.47","0.03","0.00","5.26","1.32","1.20","2.03","0.64","0.06","0.00","0.00","0.04","0.00","0%"
"41","Pierce Johnson","ATL","RP","KC","0.57","0.60","0.00","0.00","3.83","1.07","0.24","0.37","0.23","0.02","0.00","0.00","0.00","0.00","1%"
"42","Carson Spiers","CIN","RP,SP","@CHC","1.93","1.80","0.02","0.00","4.21","1.60","0.90","2.20","0.86","0.07","0.00","0.00","0.02","0.00","2%"
"43","Mason Montgomery","TB","RP,SP","@BOS","1.91","1.98","0.03","0.00","4.36","1.63","0.93","2.40","0.69","0.07","0.00","0.00","0.03","0.00","1%"
"44","Joe Jimenez","ATL","RP","KC","0.57","0.59","0.00","0.01","4.78","1.06","0.30","0.37","0.22","0.02","0.00","0.00","0.00","0.00","10%"
"45","Reed Garrett","NYM","RP","@MIL","0.56","0.59","0.00","0.00","4.06","1.20","0.25","0.37","0.30","0.02","0.00","0.00","0.00","0.00","10%"
"46","Danny Young","NYM","RP","@MIL","0.56","0.57","0.00","0.00","4.04","1.21","0.25","0.37","0.29","0.02","0.00","0.00","0.00","0.00","0%"
"47","Alex Young","NYM","RP","@MIL","0.38","0.37","0.01","0.00","3.63","1.40","0.15","0.41","0.11","0.05","0.00","0.00","0.01","0.00","0%"
"48","Jose Butto","NYM","RP,SP","@MIL","0.76","0.79","0.01","0.00","4.87","1.44","0.41","0.72","0.37","0.10","0.00","0.00","0.01","0.00","5%"
"49","Phil Maton","NYM","RP","@MIL","0.56","0.55","0.00","0.00","5.17","1.21","0.32","0.38","0.28","0.03","0.00","0.00","0.00","0.00","2%"
"50","Adam Ottavino","NYM","RP","@MIL","0.43","0.46","0.01","0.00","5.67","1.24","0.27","0.38","0.13","0.04","0.00","0.00","0.01","0.00","2%"
"51","Spencer Bivens","SF","RP","STL","1.92","1.37","0.03","0.00","5.62","1.42","1.20","2.03","0.68","0.05","0.00","0.00","0.04","0.00","1%"
"52","Jesse Chavez","ATL","RP","KC","0.38","0.35","0.01","0.00","6.19","1.14","0.26","0.37","0.06","0.03","0.00","0.00","0.01","0.00","0%"
"53","Luke Jackson","ATL","RP","KC","0.47","0.45","0.01","0.00","5.23","1.48","0.27","0.43","0.25","0.04","0.00","0.00","0.01","0.00","0%"
"54","Ryne Stanek","NYM","RP","@MIL","0.44","0.47","0.01","0.00","5.61","1.48","0.27","0.38","0.25","0.05","0.00","0.00","0.01","0.00","3%"
"55","Huascar Brazoban","NYM","RP","@MIL","0.43","0.44","0.01","0.00","5.67","1.54","0.27","0.39","0.26","0.04","0.00","0.00","0.01","0.00","0%"
"56","Carson Fulmer","LAA","SP,RP","TEX","1.94","1.56","0.03","0.00","6.34","1.54","1.37","2.15","0.81","0.10","0.00","0.00","0.05","0.00","1%"
"57","Ryan Feltner","COL","SP","LAD","5.36","4.60","0.27","0.00","6.40","1.75","3.81","6.86","2.42","0.54","0.00","0.00","0.06","0.00","2%"
""
""